,Total Revenue,Operating Revenue,Cost Of Revenue,Gross Profit,Operating Expense,Selling General And Administration,Research And Development,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Diluted NI Availto Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income As Reported,Total Expenses,Net Income From Continuing And Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,Reconciled Cost Of Revenue,Reconciled Depreciation,Net Income From Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate For Calcs,Tax Effect Of Unusual Items
2022-09-30,536000000.0,536000000.0,1453000000.0,-917000000.0,857000000.0,405000000.0,452000000.0,-1774000000.0,45000000.0,69000000.0,24000000.0,6000000.0,6000000.0,-1723000000.0,1000000.0,-1724000000.0,-1724000000.0,-1724000000.0,-1724000000.0,-1724000000.0,-1.88,-1.88,918000000.0,918000000.0,-1774000000.0,2310000000.0,-1724000000.0,-1724000000.0,69000000.0,24000000.0,45000000.0,-1699000000.0,1453000000.0,174000000.0,-1724000000.0,-1525000000.0,0.0,0.0
2022-06-30,364000000.0,364000000.0,1068000000.0,-704000000.0,1004000000.0,461000000.0,543000000.0,-1708000000.0,-2000000.0,22000000.0,24000000.0,1000000.0,1000000.0,-1709000000.0,3000000.0,-1712000000.0,-1712000000.0,-1712000000.0,-1712000000.0,-1712000000.0,-1.89,-1.89,908000000.0,908000000.0,-1708000000.0,2072000000.0,-1712000000.0,-1712000000.0,22000000.0,24000000.0,-2000000.0,-1685000000.0,1068000000.0,161000000.0,-1712000000.0,-1524000000.0,0.0,0.0
2022-03-31,95000000.0,95000000.0,597000000.0,-502000000.0,1077000000.0,530000000.0,547000000.0,-1579000000.0,-19000000.0,3000000.0,22000000.0,5000000.0,5000000.0,-1593000000.0,0.0,-1593000000.0,-1593000000.0,-1593000000.0,-1593000000.0,-1593000000.0,-1.77,-1.77,901000000.0,901000000.0,-1579000000.0,1674000000.0,-1593000000.0,-1593000000.0,3000000.0,22000000.0,-19000000.0,-1571000000.0,597000000.0,118000000.0,-1593000000.0,-1453000000.0,0.0,0.0
2021-12-31,54000000.0,54000000.0,437000000.0,-383000000.0,2071000000.0,682000000.0,726000000.0,-2454000000.0,-21000000.0,1000000.0,22000000.0,14000000.0,455000000.0,-2461000000.0,0.0,-2461000000.0,-2461000000.0,-2461000000.0,-2461000000.0,-2461000000.0,,,,,-2454000000.0,2508000000.0,-2461000000.0,-2461000000.0,1000000.0,22000000.0,-21000000.0,-2439000000.0,437000000.0,113000000.0,-2461000000.0,-2326000000.0,0.0,0.0
